City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
415,gopalpur,19.2667,84.9167,295.14,74,0,4.31,IN,1708212584
416,porbandar,21.6422,69.6093,295.3,51,16,4.45,IN,1708212585
417,arraial do cabo,-22.9661,-42.0278,298.21,90,0,6.07,BR,1708212585
418,kapit,2.0167,112.9333,296.59,100,83,0.39,MY,1708212586
419,kununurra,-15.7667,128.7333,303.14,70,93,1.54,AU,1708212586
420,nova xavantina,-14.6667,-52.35,298.73,82,62,1.53,BR,1708212587
421,pocone,-16.2567,-56.6228,303.74,52,66,0.97,BR,1708212588
422,jishu,44.3167,126.8,269.95,79,8,2.94,CN,1708212588
423,la tuque,47.4334,-72.7824,260.29,72,100,3.6,CA,1708212589
424,gaalkacyo,6.7697,47.4308,296.07,81,59,5.48,SO,1708212589
425,puerto aysen,-45.4,-72.7,288.35,67,86,1.99,CL,1708212590
426,tual,-5.6667,132.75,301.69,78,95,3.13,ID,1708212590
427,sierra grande,-41.606,-65.3557,293.7,33,1,5.94,AR,1708212591
428,trinidad,-14.8333,-64.9,301.14,83,75,2.06,BO,1708212592
429,korla,41.7597,86.1469,265.1,33,41,1.79,CN,1708212592
430,manta,-0.95,-80.7333,303.03,83,75,6.71,EC,1708212593
431,sao gabriel da cachoeira,-0.1303,-67.0892,301.18,71,82,0.96,BR,1708212497
432,peterborough,52.5736,-0.2478,285.33,100,100,7.2,GB,1708212358
433,essaouira,31.5125,-9.77,292.87,59,74,9.26,MA,1708212595
434,mangatarem,15.7874,120.2921,295.82,86,77,2.97,PH,1708212596
435,barabai,-2.5833,115.3833,297.2,91,86,0.85,ID,1708212597
436,le lavandou,43.137,6.366,287.46,81,0,1.54,FR,1708212598
437,ariquemes,-9.9133,-63.0408,297.75,96,84,0.83,BR,1708212598
438,parauapebas,-6.0675,-49.9022,300.14,88,0,0.0,BR,1708212299
439,palikir - national government center,6.9248,158.1611,302.62,70,75,5.14,FM,1708212600
440,punta del este,-34.9667,-54.95,297.21,89,0,4.02,UY,1708212600
441,goris,41.9842,44.1158,276.9,98,100,0.33,GE,1708212601
442,howard springs,-12.497,131.047,302.49,86,100,4.7,AU,1708212602
443,phichit,16.25,100.4167,298.77,79,99,2.25,TH,1708212603
444,novaya mayna,54.15,49.75,262.52,88,100,5.03,RU,1708212605
445,beibei,29.8256,106.4339,286.41,77,17,0.31,CN,1708212556
446,danshui,22.7984,114.4672,292.74,85,88,2.11,CN,1708212607
447,port isabel,26.0734,-97.2086,281.49,86,100,8.75,US,1708212608
448,toliara,-23.35,43.6667,299.16,79,0,4.58,MG,1708212609
449,fuyuan,46.4333,127.0833,272.94,87,73,5.89,CN,1708212610
450,bandarbeyla,9.4942,50.8122,298.13,71,49,5.12,SO,1708212610
451,yaren,-0.5472,166.916,302.13,79,73,5.47,NR,1708212611
452,paraiba do sul,-22.1619,-43.2928,295.34,96,67,1.59,BR,1708212612
453,murzuq,25.9155,13.9184,287.02,26,3,5.18,LY,1708212613
454,at taj,24.2049,23.2857,284.54,38,0,3.87,LY,1708212601
455,midvagur,62.0511,-7.1939,280.61,93,100,5.66,FO,1708212615
456,manali,13.1667,80.2667,297.2,89,15,0.22,IN,1708212615
457,elverum,60.8819,11.5623,265.75,97,91,0.84,NO,1708212616
458,altai,46.3722,96.2583,242.78,86,37,1.25,MN,1708212617
459,kongolo,-5.3833,27.0,294.97,93,99,0.19,CD,1708212618
460,berdigestyakh,62.0989,126.6992,240.02,93,100,2.91,RU,1708212619
